"","Year","ID_IPEDS","degree_bach","public","enroll_ftug","grant_federal","grant_state"
"221",2012,219709,1,0,1254,809684,1527700
"222",2012,219718,1,0,725,2402104,1131791
"223",2012,219790,1,0,195,358908,540520
"224",2012,219806,1,0,453,1014844,1637976
"225",2012,219824,0,1,1168,3392297,1101017
"226",2012,219833,1,0,253,552389,1055375
"227",2012,219879,0,1,687,1832448,1014767
"228",2012,219888,0,1,833,1839703,1238399
"229",2012,219903,0,0,1625,6390396,273571
"230",2012,219921,0,1,108,442517,214456
"231",2012,219949,1,0,212,425579,781775
"232",2012,219976,1,0,670,712125,1568203
"233",2012,219994,0,1,250,466545,325309
"234",2012,220002,1,0,10,25755,0
"235",2012,220057,0,1,570,1721640,654997
"236",2012,220075,1,1,2038,4150371,6970606
"237",2012,220118,0,0,58,204500,11100
"238",2012,220127,0,1,755,757334,599634
"239",2012,220181,1,0,221,704236,220500
"240",2012,220206,1,0,60,133507,99500
"241",2012,220215,1,0,321,496715,780875
"242",2012,220251,0,1,366,688600,305252
"243",2012,220279,0,1,277,461215,312603
"244",2012,220312,1,0,88,280206,202195
"245",2012,220321,0,1,273,718606,302469
"246",2012,220394,0,1,95,427830,178000
"247",2012,220400,0,1,792,2339037,1151230
"248",2012,220464,0,0,18,53588,31884
"249",2012,220473,1,0,179,356524,175000
"250",2012,220516,1,0,226,463184,503354
"251",2012,220552,1,0,198,617506,366099
"252",2012,220598,1,0,324,1568584,353454
"253",2012,220604,1,0,175,460312,114275
"254",2012,220613,1,0,846,1351010,1833319
"255",2012,220631,1,0,234,670203,644009
"256",2012,220640,0,1,246,641965,286002
"257",2012,220701,1,0,281,963422,973500
"258",2012,220710,1,0,313,739554,1429538
"259",2012,220756,0,1,124,507446,408146
"260",2012,220808,1,0,68,152132,114000
"261",2012,220853,0,1,569,1938000,418569
"262",2012,220862,1,1,2194,5040365,8702372
"263",2012,220978,1,1,3068,7355121,12919107
"264",2012,221050,0,1,393,590825,691081
"265",2012,221096,0,1,811,1606249,954709
"266",2012,221102,0,1,510,886936,539772
"267",2012,221148,0,0,1165,3799979,19000
"268",2012,221184,0,1,825,2863278,567002
"269",2012,221236,0,1,200,1050247,426595
"270",2012,221254,1,0,30,61400,72875
"271",2012,221281,0,1,347,1700146,379392
"272",2012,221333,0,1,238,651078,274224
"273",2012,221351,1,0,554,494010,761750
"274",2012,221388,0,1,188,667288,236000
"275",2012,221397,0,1,916,2343974,1533618
"276",2012,221430,0,1,259,813600,392748
"277",2012,221485,0,1,1278,4352873,815976
"278",2012,221494,0,1,464,500116,584184
"279",2012,221519,1,0,453,469476,527030
"280",2012,221582,0,1,168,496469,173290
"281",2012,221591,0,1,232,941155,423006
"282",2012,221607,0,1,118,307234,141493
"283",2012,221616,0,1,541,2134497,1101000
"284",2012,221625,0,1,491,1170038,677753
"285",2012,221634,0,1,145,653285,24000
"286",2012,221643,0,1,1728,4021879,2780213
"287",2012,221661,1,0,557,922210,399010
"288",2012,221731,1,0,218,482812,864364
"289",2012,221740,1,1,2284,3334816,9697688
"290",2012,221759,1,1,4197,5442476,18032316
"291",2012,221768,1,1,1315,3124685,5792518
"292",2012,221795,1,0,38,118500,23375
"293",2012,221838,1,1,1017,3850328,1708842
"294",2012,221847,1,1,2046,3188374,8348449
"295",2012,221892,1,0,234,414496,559350
"296",2012,221908,0,1,951,2523876,1210192
"297",2012,221953,1,0,331,929349,812057
"298",2012,221971,1,0,422,719102,1493988
"299",2012,221999,1,0,1608,1091461,772318
"300",2012,222053,0,1,1157,2475599,1513168
"301",2012,222062,0,1,1320,3411345,2199973
"302",2012,222105,0,0,24,42190,0
"303",2012,246202,0,0,183,584504,666
"304",2012,248925,0,1,573,1669342,730652
"305",2012,368443,1,0,17,57488,0
"306",2012,368452,1,0,92,160671,9000
"307",2012,382771,0,0,118,387867,2001
"308",2012,388043,0,0,33,174967,5008
"309",2012,392840,1,0,47,121761,83750
"310",2012,418870,0,0,20,76294,0
"311",2012,418889,0,0,87,66023,7000
"312",2012,440873,0,0,94,487419,4498
"313",2012,443340,1,0,4,5650,0
"314",2012,443650,0,0,80,310897,7500
"315",2012,443766,1,0,2,5675,0
"316",2012,444255,1,0,14,56950,0
